id,poziom,Zdanie,Zagadnienie,TIP ENG,TIP PL,Correct,Incorrect,Incorrect 2,Incorrect 3
48,a1,He ___  a game last week.,past simple regular positive,"When a verb ends in vowel + y, we add -ed.",,played,plaied,,
49,a1,I ___  eating sweets.,past simple regular positive,"When a one-syllable verb ends in vowel + consonant, we double the consonant.",,stopped,stoped,,
50,a1,I ___  to my teacher yesterday.,past simple regular positive,We add -ed to a verb to change it to the past tense.,,talked,talk,,
51,a1,We ___ four cakes last week,past simple regular positive,When a verb ends in e we add only d.,,baked,bakeed,,
52,a1,They ___  to the park last Sunday.,past simple irregular positive,Go is an irregular verb.,,went,goed,,
53,a1,She ___  her homework last Friday.,past simple irregular positive,Do is an irregular verb.,,did,does,,
54,a1,They ___  new clothes last Saturday.,past simple irregular positive,Buy is an irregular verb.,,bought,buyed,,
55,a1,He ___  a big house last year.,past simple irregular positive,Build is an irregular verb.,,built,builded,,
56,a1,She___   four cups of coffee yesterday.,past simple irregular positive,Drink is an irregular verb.,,drank,drinked,,
57,a1,They ___  a difficult test yesterday.,past simple irregular positive,Have is an irregular verb.,,had,haved,,
58,a1,She ___  a beautiful gift last Christmas.,past simple irregular positive,Get is an irregular verb.,,got,getted,,
59,a1,He ___  early yesterday.,past simple irregular positive,Leave is an irregular verb.,,left,leaved,,
60,a1,She ___   me a kiss yesterday.,past simple irregular positive,Give is an irregular verb.,,gave,gived,,
61,a1,Does she like___   new car? (she),possessive adjectives,We use a possessive adjective before a noun (or a pronoun) to show who or what owns a thing.,,her,his,,
62,a1,Have you met ___    doctor? (I),possessive adjectives,We use a possessive adjective before a noun (or a pronoun) to show who or what owns a thing.,,my,mine,,
63,a1,Is this ___ cat? (you),possessive adjectives,We use a possessive adjective before a noun (or a pronoun) to show who or what owns a thing.,,your,yours,,
64,a1,This is ___  house. (they),possessive adjectives,We use a possessive adjective before a noun (or a pronoun) to show who or what owns a thing.,,their,theirs,,
65,a1,I love  ___ new flat. (we),possessive adjectives,We use a possessive adjective before a noun (or a pronoun) to show who or what owns a thing.,,our,ours,,
66,a1,He likes ___  new watch. (he),possessive adjectives,We use a possessive adjective before a noun (or a pronoun) to show who or what owns a thing.,,his,him,,
67,a1,This is ___  key.,possesive 's,We use ‘s to show that one person/thing owns something.,,Mike's,Mike,,
68,a1,My ___  flat was expensive.,possesive 's,We use an apostrophe after s at the end of a plural noun to show possession.,,parents',parents's,,
69,a1,The ___  toys are upstairs.,possesive 's,We add an apostrophe + s to create the possessive form of a plural noun which doesn’t end in s.,,children's,childrens,,
70,a1,Would you like ___  water?,common uncountable nouns,Water is uncountable.,,some ,a,,
71,a1,There's ___  milk in the fridge.,common uncountable nouns,Milk is uncountable.,,some ,a,,
72,a1,This sauce is served with___  rice.,common uncountable nouns,Rice is uncountable.,,-,a,,
73,a1,She had ___  sand in her shoe.,common uncountable nouns,Sand is uncountable.,,-,a,,
74,a1,She has blond___ .,common uncountable nouns,Hair is uncountable.,,hair,hairs,,
75,a1,Would you like ___  bread?,common uncountable nouns,Bread is uncountable.,,some ,a,,
76,a1,She likes ___ .,verb + ing,"After like, love, hate we usually use the verb with ing.",,dancing,dance,,
77,a1,They hate ___ vegetables.,verb + ing,"After like, love, hate we usually use the verb with ing.",,eating,eat,,
78,a1,I love ___  new people.,verb + ing,"After like, love, hate we usually use the verb with ing.",,meeting,meet,,
79,a1,He loves ___ video games.,verb + ing,"After like, love, hate we usually use the verb with ing.",,playing,play,,
80,a1,We  like ___  to the cinema.,verb + ing,"After like, love, hate we usually use the verb with ing.",,going,go,,
